,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
0,"⛅ 26.54°C feels like 26.54°C, overcast clouds

Humidity: 73 %
Wind: ☴ 8.12 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.54°C feels like 26.54°C, overcast clouds

Humidity: 73 %
Wind: ☴ 8.12 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.54°C feels like 26.54°C, overcast clouds

Humidity: 73 %
Wind: ☴ 8.12 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
1,"⛅ 26.09°C feels like 26.09°C, overcast clouds

Humidity: 75 %
Wind: ☴ 7.9 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.09°C feels like 26.09°C, overcast clouds

Humidity: 75 %
Wind: ☴ 7.9 meter/sec

#PuneWeather #Pune #Weather","⛅ 26.09°C feels like 26.09°C, overcast clouds

Humidity: 75 %
Wind: ☴ 7.9 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
2,"⛅ 25.38°C feels like 25.98°C, overcast clouds

Humidity: 77 %
Wind: ☴ 7.11 meter/sec

#PuneWeather #Pune #Weather","⛅ 25.38°C feels like 25.98°C, overcast clouds

Humidity: 77 %
Wind: ☴ 7.11 meter/sec

#PuneWeather #Pune #Weather","⛅ 25.38°C feels like 25.98°C, overcast clouds

Humidity: 77 %
Wind: ☴ 7.11 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
3,"⛅ 23.98°C feels like 24.55°C, overcast clouds

Humidity: 81 %
Wind: ☴ 6.24 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.98°C feels like 24.55°C, overcast clouds

Humidity: 81 %
Wind: ☴ 6.24 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.98°C feels like 24.55°C, overcast clouds

Humidity: 81 %
Wind: ☴ 6.24 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
4,"⛅ 23.22°C feels like 23.82°C, overcast clouds

Humidity: 85 %
Wind: ☴ 4.99 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.22°C feels like 23.82°C, overcast clouds

Humidity: 85 %
Wind: ☴ 4.99 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.22°C feels like 23.82°C, overcast clouds

Humidity: 85 %
Wind: ☴ 4.99 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
5,"⛅ 22.88°C feels like 23.5°C, overcast clouds

Humidity: 87 %
Wind: ☴ 4.41 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.88°C feels like 23.5°C, overcast clouds

Humidity: 87 %
Wind: ☴ 4.41 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.88°C feels like 23.5°C, overcast clouds

Humidity: 87 %
Wind: ☴ 4.41 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
6,"⛅ 22.83°C feels like 23.47°C, overcast clouds

Humidity: 88 %
Wind: ☴ 3.91 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.83°C feels like 23.47°C, overcast clouds

Humidity: 88 %
Wind: ☴ 3.91 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.83°C feels like 23.47°C, overcast clouds

Humidity: 88 %
Wind: ☴ 3.91 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
7,"⛅ 22.75°C feels like 23.38°C, overcast clouds

Humidity: 88 %
Wind: ☴ 4.01 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.75°C feels like 23.38°C, overcast clouds

Humidity: 88 %
Wind: ☴ 4.01 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.75°C feels like 23.38°C, overcast clouds

Humidity: 88 %
Wind: ☴ 4.01 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
8,"⛅ 22.9°C feels like 23.54°C, overcast clouds

Humidity: 88 %
Wind: ☴ 3.96 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.9°C feels like 23.54°C, overcast clouds

Humidity: 88 %
Wind: ☴ 3.96 meter/sec

#PuneWeather #Pune #Weather","⛅ 22.9°C feels like 23.54°C, overcast clouds

Humidity: 88 %
Wind: ☴ 3.96 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
9,"⛅ 23.22°C feels like 23.87°C, overcast clouds

Humidity: 87 %
Wind: ☴ 4.07 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.22°C feels like 23.87°C, overcast clouds

Humidity: 87 %
Wind: ☴ 4.07 meter/sec

#PuneWeather #Pune #Weather","⛅ 23.22°C feels like 23.87°C, overcast clouds

Humidity: 87 %
Wind: ☴ 4.07 meter/sec

#PuneWeather #Pune #Weather","⛅ .°C feels like .°C, overcast clouds

Humidity:  %
Wind: ☴ . meter/sec

#PuneWeather #Pune #Weather","⛅ °C feels like °C overcast clouds

Humidity  
Wind ☴  metersec

PuneWeather Pune Weather","['⛅', '°C', 'feels', 'like', '°C', 'overcast', 'clouds', 'Humidity', 'Wind', '☴', 'metersec', 'PuneWeather', 'Pune', 'Weather']"
